"PUID","Reldens","DensT","DensT_Lo","DensT_Hi"
54581,0.431656303016451,0.00653047250991613,0.000721953076565654,0.0319781761428684
54582,1.13716119080598,0.0130988349187027,0.000806766267384943,0.0739904529928762
54583,0.5142123217214,0.00568835259756361,0.000303829853197589,0.0328473590823292
54584,0.480926211321259,0.00988242515901507,0.00131091554243483,0.0433660070251411
54585,1.0661568275281,0.031864251431016,0.0049580336345935,0.124422397859461
54586,1.20358407200642,0.0483287402163289,0.00784137587266141,0.176768800526105
54587,1.7475312734232,0.121037034862087,0.00907599644886647,0.457521210881064
54588,2.37974920161735,0.162430439858497,0.00959415942619618,0.627139570675394
54589,1.11070052121625,0.0788720568194338,0.00578006359203504,0.298026974090456
54824,0.746628450303024,0.0602027988840036,0.00602287691357772,0.2138255205104
54825,1.77713721224123,0.14315884803017,0.0143521450773163,0.508481799274193
54826,0.935684763914489,0.114360675498918,0.012841313716132,0.382776740987188
54827,1.30450222986782,0.170370159426885,0.020552059535687,0.560383316937205
54828,0.549179145848093,0.0164734756091309,0.00398889453566899,0.055934300076453
54829,0.958444401093671,0.0300454999116242,0.0072982764810848,0.10160807383641
54830,0.845239213337608,0.0230445247749511,0.00450097779886877,0.0863140640046489
54831,0.275538234793023,0.00725560468312731,0.00139271820739251,0.0275038232432703
54832,0.1035264946167,0.00229387399949836,0.000382617099580903,0.00941145523533857
54834,0.56361684705424,0.00993008788171915,0.00124688865405573,0.0458931279352408
54835,0.4079122147964,0.00819646216469564,0.00113461094016557,0.0359980199002722
54836,0.68287268238446,0.0181455315642905,0.00281102604618555,0.0729041804066649
54837,1.51126289783663,0.0591914325683167,0.00986015247304741,0.216544545798677
54838,0.960879726913126,0.0453414396056903,0.00728867060718426,0.161870914929306
54839,1.39284552522992,0.0776852597149818,0.0120526292504217,0.272736270539332
54840,1.67334736399691,0.10671461495567,0.014897295442609,0.37557154802448
54841,1.90226034481477,0.130087764416102,0.0152188221849763,0.467276453242754
54842,2.12883826292192,0.148752851244863,0.0141349912428779,0.547989011855288
54843,1.66906706674006,0.119855371697406,0.0112471759977819,0.440934601133794
54844,0.879594585868101,0.065341781100848,0.00658471632534303,0.237463353039746
54845,0.530335250476708,0.0443133574316359,0.00619039057461257,0.151433001212724
54846,0.479254654841494,0.0418894858923812,0.0062676844198351,0.140599524985675
54847,0.867236357216619,0.0825228299628981,0.0140050139190689,0.267158562323477
55081,0.988042287990005,0.0649057417502455,0.00668444849479687,0.236150956307547
55082,0.993751258359273,0.0701035348826975,0.00757746772051703,0.250895038562337
55083,0.84621214631949,0.0641339686690163,0.0074318286751132,0.225170406572014
55084,0.550333141448205,0.0146197905586247,0.0035103179498285,0.0501600820128367
55085,0.570326514033683,0.0140682833940063,0.00336122727018462,0.0485534386683676
55086,0.873794132753187,0.0228471846922058,0.00455683003722869,0.0853415016896306
55087,0.693336974184578,0.0178620390343521,0.00353675610830287,0.0670138736145433
55088,0.689872259284916,0.0193856789991402,0.00378085049029045,0.0723129380058162
55090,1.17002372766442,0.0268514470980253,0.00414405215424311,0.111966956350362
55091,0.83443457621198,0.02235979446048,0.00371110614227845,0.08865351414281
55092,0.738033769468663,0.0239766448595757,0.00402978808731205,0.0908913342872569
55093,1.26286222342354,0.0454197558154438,0.00763622068467548,0.16869562081269
55095,0.605393860096787,0.0363019819400545,0.00561179938899089,0.126416148245166
55096,0.760232296784192,0.0490080880306321,0.00719014917548979,0.170826925683399
55097,0.990664831430313,0.0685367394571742,0.0088200057856526,0.242371812343375
55098,0.90068910362386,0.064323805413009,0.00727467127895228,0.231160235446422
55099,0.669276808979175,0.0494317403288697,0.00555425052326458,0.17717574411977
55100,0.867236357216619,0.0657485114826911,0.00761969255788531,0.233958469646856
55101,0.384929482294975,0.0321636506711163,0.00449312738866104,0.109913543757069
55102,0.867236357216619,0.0758887855131197,0.0114666302256915,0.25428013283695
55335,1.18331441392509,0.0439310425722608,0.00333954606400824,0.183623483958334
55336,1.53881320998237,0.0722141426139992,0.00658815411236413,0.282343426434226
55337,0.576213669118948,0.0404995550708224,0.0045451361699075,0.14432627100525
55338,1.08477982285893,0.0831686135836324,0.00972230208633674,0.291196559170517
55339,0.962491442257354,0.0210896934530545,0.00500060007955262,0.0734244952980065
55340,0.952214408914448,0.017910770336021,0.00420744504426527,0.0629872308415834
55341,1.01628337669725,0.0199939157603336,0.00454961144702398,0.0710535692825109
55342,0.903265615822195,0.017687702549644,0.00398055039826779,0.0631752125846348
55343,1.09952256949926,0.0265007838202635,0.00561185572049617,0.096249920718033
55344,0.918321231361403,0.0236397225701281,0.004836093031658,0.0870618457753849
55345,0.866391966598348,0.0268012270853592,0.00543267393293126,0.0972101472145366
55346,1.03503544805474,0.0373874366115763,0.00776016060433941,0.131660682973922
55347,1.12399832792489,0.0387186079151147,0.00768034865537757,0.139991995502712
55348,1.06967304917221,0.0350661706396358,0.00649027836620111,0.130338501820874
55349,1.14952750836761,0.0437312458120798,0.00822230957749423,0.15750349215288
55350,0.269633807857524,0.0114762246676866,0.00204163560135996,0.0409542518069975
55353,0.867236357216619,0.0563322007763463,0.00883985101836321,0.193855372985744
55355,0.285069633826587,0.0210966010371904,0.00298168868556421,0.0729261665098841
55591,0.234980270345068,0.00621152524650885,0.000254962997845842,0.0293664026569902
55592,1.04374794180652,0.0280984639746377,0.0012122416203897,0.131920339685281
55593,1.37338083001696,0.0388134465284463,0.00193496646909903,0.178661046950357
55594,0.555153805378067,0.0126639120361839,0.00308258948499075,0.0436643241182254
55595,0.589640637025079,0.0106279147216078,0.0025586383153097,0.0371597010149239
55596,0.546082881192753,0.00655158120335451,0.00155017972553846,0.023316905439396
55597,1.0629725444457,0.0133466940415592,0.00308629141326405,0.0478676358663063
55598,1.00199047743445,0.0138578623588027,0.00315948288119146,0.0499267114526317
55599,0.49022784892912,0.00874219994908883,0.00194801084706674,0.0314970617534843
55600,1.16896811522238,0.0244390046620846,0.00531153812157583,0.0883415606139281
55604,0.068596013249135,0.00235853677860235,0.000461512266032495,0.0085734178175559
55605,0.524637907710936,0.0196665986589306,0.00383350497943441,0.0705102795241161
55606,1.57686947471206,0.0651063329049302,0.0126907309187886,0.229562866458518
55843,0.987742581580596,0.0201128168734423,5.47354402375617e-10,0.106983060957315
55844,1.37244473967496,0.0298612196786661,0.000356545266276076,0.153853714843249
