Sighting,Depth,Count
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0.000880789,1
0,0.006049354,1
0,0.006596658,1
0,0.012729926,1
0,0.023894226,1
0,0.026761116,1
0,0.029990779,1
0,0.030834816,1
0,0.056779664,1
0,0.065175638,1
0,0.065246813,1
0,0.07420288,1
0,0.076859146,1
0,0.091036581,1
0,0.101899251,1
0,0.103719197,1
0,0.121492811,1
0,0.123570293,1
0,0.12666671,1
0,0.128759563,1
0,0.132529587,1
0,0.1426792,1
0,0.157833889,1
0,0.196430698,1
0,0.219902694,1
0,0.225346297,1
0,0.233403429,1
0,0.233501345,1
0,0.276959449,1
0,0.295607895,1
0,0.301520348,1
0,0.302143514,1
0,0.305339485,1
0,0.351308107,1
0,0.376830906,1
0,0.433760375,1
0,0.457240313,1
0,0.508130014,1
0,0.513271928,1
0,0.540489316,1
0,0.576785088,1
0,0.580636501,1
0,0.583862841,1
0,0.600905299,1
0,0.617151916,1
0,0.624071062,1
0,0.641302884,1
0,0.651213884,1
0,0.69247812,1
0,0.706009567,1
0,0.707382202,1
0,0.721651495,1
0,0.750179052,1
0,0.756540596,1
0,0.843690574,1
0,0.872273624,1
0,0.896335304,1
0,0.90927732,1
0,0.918087363,1
0,0.935464501,1
0,0.93707329,1
0,0.938707411,1
0,0.971698046,1
0,1.002740979,1
0,1.010399342,1
0,1.034465909,1
0,1.036299944,1
0,1.048432231,1
0,1.057901859,1
0,1.069859505,1
0,1.078467131,1
0,1.199033976,1
0,1.218699694,1
0,1.225617051,1
0,1.238149643,1
0,1.255005121,1
0,1.269435644,1
0,1.270074725,1
0,1.280263186,1
0,1.323819757,1
0,1.341032982,1
0,1.372581601,1
0,1.382562757,1
0,1.394065738,1
0,1.410268068,1
0,1.469815612,1
0,1.490781903,1
0,1.501344085,1
0,1.507097244,1
0,1.536787868,1
0,1.538442016,1
0,1.562379837,1
0,1.57106483,1
0,1.588904262,1
0,1.627805948,1
0,1.635402322,1
0,1.639239669,1
0,1.651713014,1
0,1.677062154,1
0,1.685512543,1
0,1.687350154,1
0,1.696932912,1
0,1.743088007,1
0,1.747832298,1
0,1.749179006,1
0,1.775194764,1
0,1.812041759,1
0,1.837871313,1
0,1.868288279,1
0,1.88942802,1
0,1.894205689,1
0,1.924657583,1
0,1.994816422,1
0,2.022185087,1
0,2.075955868,1
0,2.113877058,1
0,2.144398212,1
0,2.164218903,1
0,2.187405825,1
0,2.219484091,1
0,2.241600513,1
0,2.266888857,1
0,2.301276922,1
0,2.31413269,1
0,2.323610544,1
0,2.496721506,1
0,2.499450922,1
0,2.543251038,1
0,2.545414448,1
0,2.591547489,1
0,2.595955133,1
0,2.657815695,1
0,2.686602116,1
0,2.741277933,1
0,2.760455608,1
0,2.802791119,1
