LCD,LCD_km,Euc_Dist,Start_X,Start_Y,Season_end,Otter,Age_Start,Sex,Ageglass,SexN,Territorial,Start_date,End_date,Days,Age_end,,,Reloc_Order_start,Reloc_Order_end,Long.Zone,Season_start,Start,,End_Windowbegin,,End_Windowend,
21948,21.948,11322,551791.3,6302972.91,1,2,4,M,2,2,NT,5/15/2012,5/28/2013,378,6,,16:29:00,18,35,8,m,5/15/2012,11:28:00,3/16/2013,18:08:00,7/14/2013,18:08:00
20299,20.299,11144,551174.32,6303049.23,1,2,4,M,2,2,NT,8/1/2011,8/3/2012,368,4,,8:53:00,5,23,8,m,8/1/2011,16:19:00,6/1/2012,22:59:00,9/29/2012,22:59:00
19297,19.297,17470,560052.94,6316382.94,2,3,3,M,1,2,NT,11/17/2012,10/17/2013,334,4,,13:31:00,18,34,8,m,11/17/2012,12:03:00,9/18/2013,19:43:00,1/16/2014,18:43:00
31868,31.868,11745,551474.2,6303955.43,1,3,2,M,1,2,NT,10/6/2011,9/17/2012,347,2,,8:17:00,6,15,8,m,10/6/2011,10:25:00,8/6/2012,17:05:00,12/4/2012,16:05:00
15629,15.629,14671,563526.79,6304343.27,1,3,2,M,1,2,NT,7/25/2012,7/13/2013,353,3,,21:19:00,9,28,8,m,7/25/2012,11:54:00,5/26/2013,18:34:00,9/23/2013,18:34:00
18511,18.511,15584,558564.04,6313733.7,2,3,3,M,1,2,NT,12/13/2012,10/17/2013,308,4,,13:31:00,19,34,8,m,12/13/2012,12:03:00,10/14/2013,19:43:00,2/11/2014,18:43:00
8423,8.423,7825,564620.97,6305819.66,1,3,2,M,1,2,NT,8/7/2012,9/9/2013,398,3,,13:29:00,11,31,8,m,8/7/2012,12:09:00,6/8/2013,18:49:00,10/6/2013,18:49:00
39139,39.139,19150,550181.34,6303098.61,1,3,3,M,1,2,NT,9/25/2012,9/9/2013,349,3,,13:29:00,16,31,8,m,9/25/2012,15:31:00,7/27/2013,22:11:00,11/24/2013,21:11:00
9028,9.028,8367,562586.94,6305733.16,1,3,2,M,1,2,NT,9/14/2012,7/25/2013,314,3,,17:02:00,14,29,8,m,9/14/2012,13:29:00,7/16/2013,20:09:00,11/13/2013,19:09:00
22455,22.455,11763,552044.7,6301476.62,1,3,1,M,1,2,NT,5/18/2011,5/22/2012,370,2,,19:12:00,1,7,8,m,5/18/2011,17:25:00,3/19/2012,0:05:00,7/17/2012,0:05:00
40836,40.836,17770,551352,6301760.38,1,3,3,M,1,2,NT,10/25/2012,9/9/2013,319,3,,13:29:00,17,31,8,m,10/25/2012,13:27:00,8/26/2013,20:07:00,12/24/2013,19:07:00
31033,31.033,12403,550825.25,6303691.87,1,3,1,M,1,2,NT,8/1/2011,9/17/2012,413,2,,8:17:00,3,15,8,m,8/1/2011,16:11:00,6/1/2012,22:51:00,9/29/2012,22:51:00
1931,1.931,1742,551722.86,6303908.97,2,3,1,M,1,2,NT,8/19/2011,9/25/2012,403,3,,15:31:00,4,16,8,m,8/19/2011,10:24:00,6/19/2012,17:04:00,10/17/2012,17:04:00
31019,31.019,11640,551295.17,6304956.15,1,3,1,M,1,2,NT,5/29/2011,7/24/2012,422,2,,12:48:00,2,8,8,m,5/29/2011,16:15:00,3/29/2012,22:55:00,7/27/2012,22:55:00
8140,8.14,7629,564740.09,6305663.2,1,3,2,M,1,2,NT,7/25/2012,9/9/2013,411,3,,13:29:00,10,31,8,m,7/25/2012,14:37:00,5/26/2013,21:17:00,9/23/2013,21:17:00
6580,6.58,6181,565966.8,6303257.72,1,3,2,M,1,2,NT,9/5/2012,8/23/2013,352,3,,13:19:00,13,30,8,m,9/5/2012,13:00:00,7/7/2013,19:40:00,11/4/2013,18:40:00
7180,7.18,6808,563214.75,6304271.39,1,3,2,M,1,2,NT,9/17/2012,7/25/2013,311,3,,17:02:00,15,29,8,m,9/17/2012,8:17:00,7/19/2013,14:57:00,11/16/2013,13:57:00
1980,1.98,1801,550285.1,6302906.93,2,4,3,M,1,2,NT,11/12/2011,10/25/2012,348,4,,13:21:00,8,34,8,m,11/12/2011,12:30:00,9/12/2012,20:10:00,1/10/2013,19:10:00
2931,2.931,2847,551185.12,6301160.07,2,4,3,M,1,2,NT,2/16/2012,3/16/2013,394,4,,14:26:00,11,36,8,m,2/16/2012,10:48:00,12/17/2012,17:28:00,4/16/2013,18:28:00
683,0.683,671,551006.81,6304107.99,1,4,2,M,1,2,NT,8/1/2011,9/3/2012,399,3,,10:08:00,5,28,8,m,8/1/2011,16:08:00,6/1/2012,22:48:00,9/29/2012,22:48:00
566,0.566,440,552014.69,6301437.29,3,4,2,M,1,2,NT,5/19/2011,4/25/2012,342,3,,15:35:00,1,15,8,m,5/19/2011,10:42:00,3/19/2012,17:22:00,7/17/2012,17:22:00
33233,33.233,15140,552059.87,6302611.66,1,4,3,M,1,2,NT,5/17/2012,5/28/2013,376,4,,18:12:00,18,39,8,m,5/17/2012,16:05:00,3/18/2013,22:45:00,7/16/2013,22:45:00
2483,2.483,2376,551505.48,6303554.94,2,4,2,M,1,2,NT,8/24/2011,9/25/2012,398,4,,15:35:00,7,33,8,m,8/24/2011,12:01:00,6/24/2012,18:41:00,10/22/2012,18:41:00
12068,12.068,10539,550755.85,6304640.29,1,4,3,M,1,2,NT,5/20/2012,7/18/2013,424,4,,2:59:00,19,40,8,m,5/20/2012,9:33:00,3/21/2013,16:13:00,7/19/2013,16:13:00
20738,20.738,15293,547002.87,6310350.81,3,4,3,M,1,2,NT,3/29/2012,5/7/2013,404,4,,17:02:00,12,37,8,m,3/29/2012,10:39:00,1/28/2013,16:19:00,5/28/2013,17:19:00
22632,22.632,10739,551791.3,6302972.91,1,4,3,M,1,2,NT,5/20/2012,5/22/2013,367,4,,17:17:00,20,38,8,m,5/20/2012,11:25:00,3/21/2013,18:05:00,7/19/2013,18:05:00
7491,7.491,7036,550508.62,6303601.74,1,4,3,M,1,2,NT,8/29/2012,7/25/2013,330,4,,17:19:00,27,41,8,m,8/29/2012,11:52:00,6/30/2013,18:32:00,10/28/2013,18:32:00
36148,36.148,18712,552257.16,6301070.61,3,4,3,M,1,2,NT,4/25/2012,5/7/2013,377,4,,17:02:00,15,37,8,m,4/25/2012,15:35:00,2/24/2013,21:15:00,6/24/2013,22:15:00
33831,33.831,13485,551116.25,6303006.55,1,4,3,M,1,2,NT,7/15/2012,8/21/2013,402,4,,15:40:00,23,44,8,m,7/15/2012,15:42:00,5/16/2013,22:22:00,9/13/2013,22:22:00
2614,2.614,2511,551404.94,6301596.27,2,4,3,M,1,2,NT,2/4/2012,3/16/2013,406,4,,14:26:00,10,36,8,m,2/4/2012,11:01:00,12/5/2012,17:41:00,4/4/2013,18:41:00
32268,32.268,15083,551328.56,6303119.81,1,4,3,M,1,2,NT,5/15/2012,5/28/2013,378,4,,18:12:00,17,39,8,m,5/15/2012,14:01:00,3/16/2013,20:41:00,7/14/2013,20:41:00
400,0.4,359,550757.25,6303909.9,2,4,3,M,1,2,NT,5/2/2012,3/16/2013,318,4,,14:26:00,16,36,8,m,5/2/2012,15:21:00,3/3/2013,21:01:00,7/1/2013,22:01:00
31805,31.805,13727,551018.58,6303998.48,1,6,2,M,1,2,NT,8/19/2011,8/7/2012,354,3,,12:08:00,4,19,8,m,8/19/2011,10:11:00,6/19/2012,16:51:00,10/17/2012,16:51:00
11608,11.608,10812,562812.21,6308948.8,2,6,4,M,2,2,NT,12/13/2012,10/17/2013,308,5,,15:25:00,27,44,8,m,12/13/2012,12:04:00,10/14/2013,19:44:00,2/11/2014,18:44:00
27794,27.794,23092,563835.72,6306443.48,1,6,3,M,1,2,NT,7/23/2012,8/23/2013,396,4,,22:11:00,16,39,8,m,7/23/2012,12:02:00,5/24/2013,18:42:00,9/21/2013,18:42:00
34902,34.902,14488,551351.12,6300989.33,2,6,3,M,1,2,NT,2/4/2012,1/28/2013,359,4,,12:02:00,11,28,8,m,2/4/2012,10:57:00,12/5/2012,17:37:00,4/4/2013,18:37:00
33750,33.75,12701,551909.19,6301435.97,1,6,2,M,1,2,NT,5/19/2011,7/14/2012,422,3,,16:20:00,1,14,8,m,5/19/2011,12:44:00,3/19/2012,19:24:00,7/17/2012,19:24:00
34627,34.627,12857,564367.6,6302922.33,2,6,3,M,1,2,NT,12/20/2011,10/25/2012,310,4,,13:31:00,9,25,8,m,12/20/2011,12:20:00,10/20/2012,20:00:00,2/17/2013,19:00:00
13786,13.786,8652,551977.76,6313165.44,1,6,3,M,1,2,NT,9/20/2012,8/15/2013,329,4,,12:37:00,24,36,8,m,9/20/2012,15:35:00,7/22/2013,22:15:00,11/19/2013,21:15:00
30756,30.756,14226,550349.43,6303744.98,1,6,3,M,1,2,NT,10/19/2011,9/17/2012,334,3,,8:22:00,7,23,8,m,10/19/2011,9:48:00,8/19/2012,16:28:00,12/17/2012,15:28:00
32005,32.005,13354,551350.1,6303276.38,1,6,3,M,1,2,NT,11/12/2011,9/17/2012,310,3,,8:22:00,8,23,8,m,11/12/2011,12:40:00,9/12/2012,20:20:00,1/10/2013,19:20:00
30716,30.716,12826,550033.53,6303705.33,1,6,2,M,1,2,NT,6/24/2011,7/15/2012,387,3,,9:53:00,2,15,8,m,6/24/2011,12:29:00,4/24/2012,19:09:00,8/22/2012,19:09:00
30825,30.825,12287,551462.3,6304010.95,1,6,2,M,1,2,NT,8/1/2011,9/7/2012,403,3,,11:38:00,3,22,8,m,8/1/2011,16:07:00,6/1/2012,22:47:00,9/29/2012,22:47:00
22483,22.483,20678,564297.48,6306545.22,1,6,3,M,1,2,NT,9/17/2012,8/22/2013,339,4,,11:43:00,23,38,8,m,9/17/2012,8:22:00,7/19/2013,15:02:00,11/16/2013,14:02:00
32322,32.322,13005,551653.05,6303502.33,1,6,2,M,1,2,NT,8/24/2011,9/17/2012,390,3,,8:22:00,5,23,8,m,8/24/2011,0:05:00,6/24/2012,6:45:00,10/22/2012,6:45:00
28211,28.211,12733,562288.65,6308650.25,2,6,4,M,2,2,NT,11/17/2012,12/5/2013,383,5,,12:22:00,26,46,8,m,11/17/2012,12:05:00,9/18/2013,19:45:00,1/16/2014,18:45:00
29294,29.294,11737,551565.36,6303878.97,2,6,3,M,1,2,NT,1/14/2012,11/17/2012,308,4,,12:05:00,10,26,8,m,1/14/2012,11:34:00,11/14/2012,18:14:00,3/14/2013,19:14:00
20651,20.651,11468,551088.43,6303446.05,1,7,3,M,1,2,NT,10/6/2011,9/17/2012,347,3,,8:54:00,6,29,8,m,10/6/2011,10:23:00,8/6/2012,17:03:00,12/4/2012,16:03:00
22265,22.265,10680,543186.89,6297667.08,1,7,3,M,1,2,NT,7/15/2012,9/12/2013,424,4,,14:20:00,21,46,8,m,7/15/2012,11:25:00,5/16/2013,18:05:00,9/13/2013,18:05:00
8760,8.76,7489,540428.02,6300025.27,1,7,3,M,1,2,NT,8/3/2012,6/19/2013,320,4,,19:25:00,24,39,8,m,8/3/2012,8:53:00,6/4/2013,15:33:00,10/2/2013,15:33:00
15091,15.091,10820,540375.45,6299353.72,2,7,3,M,1,2,NT,9/17/2012,10/17/2013,395,5,,15:34:00,29,48,8,m,9/17/2012,8:54:00,7/19/2013,15:34:00,11/16/2013,14:34:00
23982,23.982,19661,560948.29,6305191.4,1,7,3,M,1,2,NT,8/31/2012,8/4/2013,338,4,,19:33:00,26,41,8,m,8/31/2012,14:20:00,7/2/2013,21:00:00,10/30/2013,21:00:00
21699,21.699,11236,551567.81,6303739.51,3,7,3,M,1,2,NT,4/28/2012,4/16/2013,353,4,,16:32:00,14,36,8,m,4/28/2012,18:55:00,2/28/2013,0:35:00,6/28/2013,1:35:00
23625,23.625,10850,551959.2,6300446.8,2,7,3,M,1,2,NT,1/14/2012,2/20/2013,403,4,,12:05:00,8,33,8,m,1/14/2012,11:28:00,11/14/2012,18:08:00,3/14/2013,19:08:00
400,0.4,244,542493.69,6297515.59,1,7,3,M,1,2,NT,9/1/2012,8/22/2013,355,4,,14:21:00,27,43,8,m,9/1/2012,14:41:00,7/3/2013,21:21:00,10/31/2013,21:21:00
3877,3.877,3716,539909.14,6300185.03,1,7,2,M,1,2,NT,7/8/2011,9/1/2012,421,3,,14:41:00,3,27,8,m,7/8/2011,13:24:00,5/8/2012,20:04:00,9/5/2012,20:04:00
